"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"MUJ","Blackrock MuniHoldings New Jersey Insured Fund, Inc.","14.57","$439.34M","1998","n/a","n/a","https://old.nasdaq.com/symbol/muj",
"MHN","Blackrock MuniHoldings New York Quality Fund, Inc.","13.8","$429.62M","1997","n/a","n/a","https://old.nasdaq.com/symbol/mhn",
"MUE","Blackrock MuniHoldings Quality Fund II, Inc.","12.78","$287.82M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mue",
"MUS","Blackrock MuniHoldings Quality Fund, Inc.","12.83","$167.02M","1998","n/a","n/a","https://old.nasdaq.com/symbol/mus",
"MVT","Blackrock MuniVest Fund II, Inc.","15","$320.1M","1993","n/a","n/a","https://old.nasdaq.com/symbol/mvt",
"MYC","Blackrock MuniYield California Fund, Inc.","14.18","$303.73M","1992","n/a","n/a","https://old.nasdaq.com/symbol/myc",
"MCA","Blackrock MuniYield California Insured Fund, Inc.","14.36","$494.07M","1992","n/a","n/a","https://old.nasdaq.com/symbol/mca",
"MYD","Blackrock MuniYield Fund, Inc.","15.09","$708.02M","1991","n/a","n/a","https://old.nasdaq.com/symbol/myd",
"MYF","Blackrock MuniYield Investment Fund","14.4027","$197.49M","1992","n/a","n/a","https://old.nasdaq.com/symbol/myf",
"MFT","Blackrock MuniYield Investment QualityFund","13.72","$116.32M","1992","n/a","n/a","https://old.nasdaq.com/symbol/mft",
"MIY","Blackrock MuniYield Michigan Quality Fund, Inc.","14.35","$424.45M","1992","n/a","n/a","https://old.nasdaq.com/symbol/miy",
"MYJ","Blackrock MuniYield New Jersey Fund, Inc.","15.41","$372.28M","1992","n/a","n/a","https://old.nasdaq.com/symbol/myj",
"MYN","Blackrock MuniYield New York Quality Fund, Inc.","13.18","$521.75M","1992","n/a","n/a","https://old.nasdaq.com/symbol/myn",
"MPA","Blackrock MuniYield Pennsylvania Quality Fund","14.51","$193.62M","1992","n/a","n/a","https://old.nasdaq.com/symbol/mpa",
"MQT","Blackrock MuniYield Quality Fund II, Inc.","13.162","$296.91M","1992","n/a","n/a","https://old.nasdaq.com/symbol/mqt",
"MYI","Blackrock MuniYield Quality Fund III, Inc.","13.74","$936.39M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/myi",
"MQY","Blackrock MuniYield Quality Fund, Inc.","15.14","$464.98M","1992","n/a","n/a","https://old.nasdaq.com/symbol/mqy",
"BNY","BlackRock New York Investment Quality Municipal Trust Inc. (Th","14.016","$181.87M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bny",
"BQH","Blackrock New York Municipal Bond Trust","15.5298","$43.49M","2002","n/a","n/a","https://old.nasdaq.com/symbol/bqh",
